,ID,Відправлення,Прибуття,Маса,Обєм,Відстань,Вартість,Спосіб,Безготівковий,ПДВ,Час,Транспорт
5182,415670907,Єгорівка,Близнюки,19.0,14.0,621.84,11500.0,1.0,0,0,1,Тент
5183,415675979,Сарни,Буча,8.3,7.0,280.88,6500.0,1.0,0,0,1,Тент
5184,415482533,Миргород,Київ,35.0,35.0,248.54,3200.0,1.0,0,0,1,Крита
5185,415679407,Київ,Харків,10.0,86.0,471.76,8000.0,1.0,0,0,1,Тент
5186,415679413,Дударків,Москаленки,22.0,86.0,180.3,7500.0,1.0,0,0,1,Тент
5187,415677557,Нова Каховка,Київ,9.8,10.0,614.52,7500.0,1.0,0,0,1,Тент
5188,415679433,Калинівка,Львів,16.0,87.0,0.0,9000.0,1.0,1,1,0,Крита
5189,415671779,Харків,Рівне,7.5,18.0,796.77,6500.0,1.0,0,0,1,Крита
5190,415623059,Березне,Запоріжжя,22.0,30.0,0.0,17500.0,1.0,0,0,1,Тент
5191,415678859,Дніпро,Подільськ (Котовськ),0.5,9.0,489.62,3000.0,0.0,0,0,1,Крита
5192,415679449,Калинівка,Стрий,16.0,87.0,553.61,10500.0,1.0,1,1,0,Крита
5193,415671121,Єгорівка,Миколаїв,16.0,12.0,167.14,4000.0,1.0,0,0,1,Тент
5194,391915438,Київ,Одеса,21.0,85.0,475.03,11000.0,1.0,0,0,1,Тент
5195,371274321,Київ,Кривий Ріг,21.0,85.0,419.02,11000.0,1.0,0,0,1,Тент
5196,415377351,Єгорівка,Херсон,21.0,17.0,235.15,3500.0,1.0,0,0,1,Тент
5197,415378551,Єгорівка,Южноукраїнськ,21.0,17.0,216.51,4500.0,1.0,0,0,1,Тент
5198,415377915,Єгорівка,Кривий Ріг,21.0,17.0,324.18,8000.0,1.0,0,0,1,Тент
5199,415378189,Єгорівка,Вінниця,21.0,17.0,393.82,7000.0,1.0,0,0,1,Тент
5200,415661973,Обухів,Херсон,9.3,40.0,525.06,6000.0,1.0,0,0,1,Крита
5201,415678779,Будище,Ладижин,16.0,16.0,272.69,3000.0,1.0,0,0,1,Крита
5202,415627281,Чернігів,Потоки,86.0,86.0,425.99,9000.0,1.0,1,0,0,Крита
5203,415671295,Харків,Житомир,10.0,86.0,609.38,6700.0,0.0,0,0,1,Тент
5204,404888883,Херсон,Харків,22.0,86.0,563.66,10500.0,1.0,0,0,1,Тент
5205,415674269,Івано-Франківськ,Дніпро,16.0,120.0,924.59,18050.0,1.0,0,0,1,Тент
5206,415679481,Скала-Подільська,Київ,20.0,86.0,436.14,9000.0,1.0,0,0,1,Реф.
5207,415679487,Єгорівка,Близнюки,19.0,14.0,621.84,11000.0,1.0,0,0,1,Тент
5208,407708475,Херсон,Коблеве,22.0,86.0,151.92,5000.0,1.0,0,0,1,Тент
5209,415671423,Березне,Одеса,22.0,40.0,0.0,10500.0,1.0,0,0,1,Тент
5210,415671519,Бершадь,Нова Каховка,22.0,86.0,432.24,9500.0,1.0,0,0,1,Тент
5211,415671475,Джулинка,Нова Каховка,22.0,86.0,414.48,9500.0,1.0,0,0,1,Тент
5212,415671491,Джулинка,Нова Каховка,22.0,86.0,414.48,9500.0,1.0,0,0,1,Тент
5213,415671509,Бершадь,Нова Каховка,22.0,86.0,432.24,9500.0,1.0,0,0,1,Тент
5214,415679495,Ромни,Бахмут (Артемівськ),4.5,7.0,568.03,7000.0,1.0,0,0,1,Крита
5215,415679499,Біла Церква,Кропивницький (Кіровоград),100.0,80.0,288.89,7800.0,1.0,0,0,0,Самоскид
5216,414538135,Лугини,Боярка,20.0,20.0,181.22,7000.0,1.0,0,0,1,Тент
5217,415677691,Єгорівка,Липці,16.0,12.0,722.65,10000.0,1.0,0,0,1,Тент
5218,415671537,Носачевичі,Київ,2.1,1.0,417.62,1600.0,1.0,0,0,1,Крита
5219,415678835,Бровари,Кременчук,37.0,37.0,283.34,5500.0,0.0,0,0,0,Крита
5220,415671387,Єльне,Рівне,30.0,30.0,143.3,2300.0,1.0,0,0,1,Крита
5221,415651441,Щасливе,Кропивницький (Кіровоград),0.5,0.5,295.17,1300.0,1.0,0,0,1,Крита
5222,415678551,Біла Церква,Київ,22.0,86.0,86.37,3500.0,0.0,0,0,0,Тент
5223,415198367,Ботієве,Савинці,10.0,12.0,458.13,3000.0,1.0,0,0,1,Тент
5224,415679517,Бориспіль,Івано-Франківськ,21.0,86.0,636.68,11500.0,1.0,0,0,0,Тент
5225,415616139,Білопілля,Апостолове,20.0,80.0,557.45,17000.0,1.0,0,0,1,Зерновоз
5226,415388409,Сміла,Велика Лепетиха,22.0,86.0,498.39,10500.0,1.0,0,0,1,Крита
5227,415677729,Вознесенськ,Новий Буг,20.0,20.0,94.37,1200.0,1.0,0,0,0,Крита
5228,415492257,Новоархангельськ,Южне,22.0,50.0,354.21,17600.0,1.0,0,0,1,Зерновоз
5229,415672717,Ічня,Рівне,12.5,82.0,485.59,9000.0,1.0,0,0,1,Крита
5230,415662903,Мліїв,Київ,1.4,2.0,172.57,1500.0,0.0,0,0,1,Цільномет
5231,415667771,Антоніни,Київ,4.7,4.0,307.13,3000.0,1.0,0,0,0,Тент
5232,415677753,Шепетівка,Краматорськ,22.0,56.0,935.35,19500.0,1.0,0,0,1,Тент
5233,415660645,Краматорськ,Херсон,22.0,84.0,583.42,12000.0,0.0,0,0,1,Тент
5234,415678073,Рівне,Руські Комарівці,21.0,50.0,458.16,9000.0,1.0,0,0,0,Тент
5235,415667809,Мошни,Харків,30.0,30.0,410.74,4000.0,0.0,0,0,1,Крита
5236,415675851,Хмельницький,Київ,20.0,25.0,325.14,7000.0,1.0,0,0,1,Тент
5237,415674653,Хмельницький,Дніпро,22.0,86.0,683.86,11000.0,1.0,0,0,1,Крита
5238,415675805,Хмельницький,Камінь-Каширський,22.0,5.0,369.06,9000.0,1.0,0,0,1,Відкрита
5239,415678577,Тернопіль,Одеса,21.0,86.0,653.48,13000.0,1.0,0,0,0,Тент
5240,415663025,Сарни,Новоград-Волинський,12.0,20.0,146.33,4400.0,0.0,0,0,0,Тент
5241,415674663,Луговики,Бориспіль,20.0,18.0,142.53,3500.0,0.0,0,0,1,Тент
5242,415663061,Чорноморськ (Іллічівськ),Полтава,22.0,30.0,595.15,10000.0,0.0,0,0,1,Тент
